segment_id,start,end,speaker_id,transcript,asr_confidence
0,10.5,13.5,SPEAKER_02,Are we? We're not like,0.5429
1,12.0,15.0,SPEAKER_02,"We're not like the dim lights, so",0.5122
2,13.5,16.5,SPEAKER_02,"the dim lights, so we can see",0.5122
3,15.0,18.0,SPEAKER_02,we can see that a bit better.,0.5122
4,16.5,19.5,SPEAKER_02,that a bit better. Yeah.,0.478
5,18.0,21.0,SPEAKER_02,Yeah. OK. That's,0.478
6,19.5,22.5,SPEAKER_02,OK. That's fine.,0.6297
7,21.0,24.0,SPEAKER_02,fine. Am I supposed to be standing up there?,0.6297
8,24.0,27.0,SPEAKER_03,So we've got both of these clipped on.,0.6016
9,25.5,28.5,SPEAKER_03,got both of these clipped on.,0.6016
10,28.5,31.5,SPEAKER_03,"Is she going to answer me? Yeah,",0.3337
11,30.0,33.0,SPEAKER_03,"going to answer me? Yeah, I've got both of them.",0.3337
12,31.5,34.5,SPEAKER_03,I've got both of them.,0.2017
13,82.5,85.5,SPEAKER_02,"everybody. I'm Sarah,",0.7876
14,84.0,87.0,SPEAKER_02,"I'm Sarah, the project",0.8015
15,85.5,88.5,SPEAKER_02,the project manager and this,0.8015
16,87.0,90.0,SPEAKER_02,manager and this is our first,0.8015
17,88.5,91.5,SPEAKER_02,"is our first meeting, surprisingly enough.",0.8015
18,90.0,93.0,SPEAKER_02,"meeting, surprisingly enough. Okay,",0.7471
19,91.5,94.5,SPEAKER_02,"Okay, this is",0.6928
20,93.0,96.0,SPEAKER_02,this is our agenda. We will,0.7113
21,94.5,97.5,SPEAKER_02,"our agenda. We will do some stuff, get to",0.7113
22,96.0,99.0,SPEAKER_02,"do some stuff, get to know each other a",0.7299
23,97.5,100.5,SPEAKER_02,"know each other a bit better, feel more comfortable",0.7299
24,99.0,102.0,SPEAKER_02,"bit better, feel more comfortable with each other.",0.7299
25,100.5,103.5,SPEAKER_02,with each other. Then we'll go,0.7781
26,102.0,105.0,SPEAKER_02,"Then we'll go do tool training,",0.8262
27,103.5,106.5,SPEAKER_02,"do tool training, talk about the",0.8262
28,105.0,108.0,SPEAKER_02,"talk about the project plan, discuss our",0.8262
29,106.5,109.5,SPEAKER_02,"project plan, discuss our own ideas and",0.8262
30,108.0,111.0,SPEAKER_02,own ideas and everything. And,0.8122
31,109.5,112.5,SPEAKER_02,everything. And we've got 25 minutes,0.8122
32,111.0,114.0,SPEAKER_02,we've got 25 minutes to do that as,0.7981
33,112.5,115.5,SPEAKER_02,to do that as far as I can,0.7981
34,114.0,117.0,SPEAKER_02,far as I can understand.,0.7981
35,115.5,118.5,SPEAKER_02,"understand. Now, we're developing",0.6795
36,117.0,120.0,SPEAKER_02,"Now, we're developing remote control, which you",0.5609
37,118.5,121.5,SPEAKER_02,"remote control, which you probably already know.",0.5609
38,120.0,123.0,SPEAKER_02,probably already know. We,0.6522
39,121.5,124.5,SPEAKER_02,We want it to be,0.7436
40,123.0,126.0,SPEAKER_02,"want it to be original, something that people",0.7436
41,124.5,127.5,SPEAKER_02,"original, something that people haven't thought of. It's not out",0.7477
42,126.0,129.0,SPEAKER_02,haven't thought of. It's not out in the shops.,0.7477
43,127.5,130.5,SPEAKER_02,"in the shops. Trendy, appealing",0.8001
44,129.0,132.0,SPEAKER_02,"Trendy, appealing to a wide market,",0.8484
45,130.5,133.5,SPEAKER_02,"to a wide market, but not a",0.8484
46,132.0,135.0,SPEAKER_02,but not a hunk of metal.,0.8484
47,133.5,136.5,SPEAKER_02,"hunk of metal. And user-friendly,",0.8181
48,135.0,138.0,SPEAKER_02,"And user-friendly, grannies to kids,",0.7878
49,136.5,139.5,SPEAKER_02,"grannies to kids, maybe even pooches, should",0.7878
50,138.0,141.0,SPEAKER_02,"maybe even pooches, should be able to",0.7878
51,139.5,142.5,SPEAKER_02,be able to use it.,0.7878
52,141.0,144.0,SPEAKER_02,"use it. Okay, first",0.7847
53,142.5,145.5,SPEAKER_02,"Okay, first is the functional",0.7817
54,144.0,147.0,SPEAKER_02,is the functional design. This,0.7832
55,145.5,148.5,SPEAKER_02,design. This is where we all go off and do,0.7832
56,147.0,150.0,SPEAKER_02,is where we all go off and do our individual work.,0.7847
57,148.5,151.5,SPEAKER_02,our individual work. What needs need,0.8016
58,150.0,153.0,SPEAKER_02,What needs need to be fulfilled by,0.8186
59,151.5,154.5,SPEAKER_02,"to be fulfilled by the product, what effect the",0.8186
60,153.0,156.0,SPEAKER_02,"the product, what effect the product has to have,",0.8186
61,154.5,157.5,SPEAKER_02,"product has to have, and how it's actually going",0.8186
62,156.0,159.0,SPEAKER_02,and how it's actually going to do that.,0.8186
63,157.5,160.5,SPEAKER_02,"to do that. Conceptual design,",0.81
64,159.0,162.0,SPEAKER_02,"Conceptual design, what we're thinking, how it's going",0.8015
65,160.5,163.5,SPEAKER_02,"what we're thinking, how it's going to go, and then the",0.8015
66,162.0,165.0,SPEAKER_02,"to go, and then the detailed design, how we're actually",0.8015
67,163.5,166.5,SPEAKER_02,"detailed design, how we're actually going to put it into",0.8015
68,165.0,168.0,SPEAKER_02,going to put it into practice and make it work.,0.8015
69,166.5,169.5,SPEAKER_02,practice and make it work.,0.8015
70,169.5,172.5,SPEAKER_02,OK. Right. We're,0.8176
71,171.0,174.0,SPEAKER_02,Right. We're going to practice with,0.8176
72,172.5,175.5,SPEAKER_02,going to practice with the pens and,0.7467
73,174.0,177.0,SPEAKER_02,the pens and draw our favourite animal,0.7467
74,175.5,178.5,SPEAKER_02,draw our favourite animal on the whiteboard.,0.7849
75,177.0,180.0,SPEAKER_02,on the whiteboard. I'll go first.,0.8002
76,178.5,181.5,SPEAKER_02,I'll go first. And sum up the,0.8269
77,180.0,183.0,SPEAKER_02,And sum up the characteristics of that,0.8309
78,181.5,184.5,SPEAKER_02,characteristics of that animal.,0.7836
79,184.5,187.5,SPEAKER_02,OK. At least,0.7363
80,186.0,189.0,SPEAKER_02,At least space,0.7363
81,241.5,244.5,SPEAKER_02,We're running out of blue.,0.357
