segment_id,start,end,speaker_id,transcript,asr_confidence
0,3.81,29.67,SPEAKER_02,I can leave them on the whole time because it looks like a noodle the whole time.,0.6173
1,33.78,34.32,SPEAKER_02,Okay.,0.782
2,35.31,37.41,SPEAKER_02,Minutes.,0.811
3,37.53,39.48,SPEAKER_02,We decided to use a kinetic charger.,0.8843
4,41.06,45.8,SPEAKER_02,Standard chip because it can come in various different sizes.,0.8734
5,47.09,48.5,SPEAKER_02,going to be a problem factor.,0.5487
6,50.04,51.5,SPEAKER_02,We wanted a standby function.,0.889
7,51.52,55.89,SPEAKER_02,"The case materials can be soft, rubbery, changeable.",0.8259
8,57.53,60.74,SPEAKER_02,"Buttons with a combination of LCD and rubber, according to the design.",0.6836
9,61.76,67.67,SPEAKER_02,"Bright, funky designs inspired by fruit, keeping with the hip kind of feel.",0.8095
10,67.65,75.48,SPEAKER_02,and to try and incorporate voice recognition software into our design until we can find out more about the cost of things like that.,0.7979
11,76.49,81.11,SPEAKER_02,And the rubber buttons that we'll use will be anti-RSI.,0.8637
12,88.67,90.33,SPEAKER_02,Prototype presentation.,0.9245
13,90.89,92.53,SPEAKER_00,Is that for us?,0.788
14,92.67,93.77,SPEAKER_00,I think that would be you.,0.831
15,94.91,99.54,SPEAKER_01,"Me and William worked on a prototype, and I think William is going to make a presentation on that.",0.7861
16,99.56,101.48,SPEAKER_00,"Yeah, shall I show?",0.713
17,102.04,103.44,SPEAKER_00,Do you want to hold it?,0.4662
18,103.7,104.52,SPEAKER_00,I can hold it.,0.814
19,104.82,105.64,SPEAKER_00,Do you want to hold it?,0.5492
20,105.76,108.45,SPEAKER_00,And I'll show you the presentation.,0.5793
21,108.47,109.41,SPEAKER_00,Can I just nick you?,0.3488
22,109.45,110.31,SPEAKER_02,"Yes, yes.",0.542
23,110.39,111.93,SPEAKER_02,I'll get it out.,0.4715
24,114.78,115.06,SPEAKER_00,Whoa.,0.595
25,116.02,117.53,SPEAKER_00,It looks crazy.,0.917
26,117.99,118.47,SPEAKER_00,Crazy.,0.838
27,120.77,121.22,SPEAKER_00,Thank you.,0.8895
28,125.82,133.38,SPEAKER_02,"Oh, where are the hinges?",0.7182
29,138.66,143.59,SPEAKER_00,"OK, so this is our look and feel presentation, our final presentation.",0.7953
30,144.85,149.79,SPEAKER_00,And we'll first look at the exterior of what we've come up with over there.,0.8731
31,151.2,162.91,SPEAKER_00,"It's going to have a plastic body with a sort of standard color, either we're thinking something fairly neutral,",0.8095
32,162.89,165.54,SPEAKER_00,a white or a light blue or something.,0.8514
33,165.6,177.81,SPEAKER_00,"This is underneath the rubberized outer casing, which there'd be sort of a wide choice, they would be attached, but we can't with that.",0.8166
34,180.06,187.25,SPEAKER_00,"The wide choice of colors and sort of patterns, so you've got a lot of customization with it.",0.7256
35,187.22,203.12,SPEAKER_00,It's obviously a sort of clamshell design and the top LCD screen that you can see there would be sort of,0.7384
36,204.2,204.98,SPEAKER_00,How do you say it?,0.5216
37,205.0,206.0,SPEAKER_00,The black and white touchscreen?,0.378
38,206.23,214.86,SPEAKER_00,"Yeah, yeah, it would be sort of inset into the top and the buttons at the bottom would, so fully closed, flat.",0.7392
39,215.02,215.6,SPEAKER_00,"Oh, right.",0.623
40,215.64,216.04,SPEAKER_00,Yeah.,0.646
41,216.24,216.47,SPEAKER_00,Yeah.,0.649
42,217.97,226.24,SPEAKER_00,"And working on the inside, we've already decided on the kinetic batteries, which",0.8373
43,226.22,233.7,SPEAKER_00,"Actually thinking about it now, you could also probably attach to the flipping open and shut as well, so that you could probably get a bit of it.",0.744
44,233.72,239.02,SPEAKER_02,"So put it in the top section rather than the bottom section, because it's the top.",0.4357
45,239.96,252.42,SPEAKER_00,"We decided that the voice recognition system, it did actually say on the email that they were sort of coming in and they were fairly easy to get hold of, so we presumed that they'd also be quite cheap.",0.8372
46,252.8,256.55,SPEAKER_00,"So you'd have something like, you'd shout out, where is the remote?",0.8543
47,257.55,261.28,SPEAKER_00,"And it'll shout back, I'm here or something.",0.8942
48,263.15,265.93,SPEAKER_00,"And then, yeah.",0.7713
49,267.37,269.38,SPEAKER_00,It won't shout out I'm here or something.,0.7086
50,269.68,271.12,SPEAKER_00,It'll just shout out I'm here.,0.6605
51,272.24,274.8,SPEAKER_00,Or something too similar effect.,0.7056
52,275.48,280.81,SPEAKER_00,"Yeah, if it was getting that, well, that could be something for next time, maybe.",0.787
53,281.65,283.9,SPEAKER_00,You can have a remote that tells you exactly where it is.,0.8107
54,285.3,291.57,SPEAKER_00,The standard transmission with the TV using all the standard chips that we've talked about.,0.8446
55,291.55,303.28,SPEAKER_00,"It would have, obviously because it's split over two different layers, it would need two separate PCBs that would be joined at the hinge through some sort of cabling.",0.7658
56,304.86,319.8,SPEAKER_00,"And because obviously all TVs use this, the same infrared medium would just be using the same thing to transmit the data and the infrared",0.813
57,319.78,329.67,SPEAKER_00,"sender would be on one of the bottom layer, just at the front of the, I don't think we actually put it on.",0.7706
58,330.87,334.23,SPEAKER_01,"Yeah, yeah, someone like that.",0.5354
59,334.29,336.52,SPEAKER_00,"Yeah, on the front, on the front side of that, yeah.",0.7589
60,336.68,343.85,SPEAKER_00,"So when you've actually got it open, it would be facing the TV.",0.6304
61,343.82,359.29,SPEAKER_00,"And then finally, on the interface, the top screen, as we said, would be an inset black and white LCD touch screen.",0.8329
62,359.27,380.53,SPEAKER_00,"have all of the available functions for the remote on it, whereas the bottom screen would just contain the standard buttons like the volume up and down, channel up and down, power on and off, and things to that effect.",0.8666
63,380.51,397.69,SPEAKER_00,"And now, we also decided on the inside, we could possibly either have some kind of sort of bezled logo on it, or something inset, or maybe an engraving of the logo on the top.",0.848
64,399.11,402.44,SPEAKER_00,"But not interfering with the outside, cannot look at the product.",0.2195
65,402.46,407.68,SPEAKER_00,"No, not interfering with the whole look of the product when it's...",0.8238
66,407.66,418.08,SPEAKER_00,out on the thing and finally that's how we put the fashion back into electronics as that is the company logo.,0.7946
67,419.4,431.44,SPEAKER_02,I've now got evaluation criteria.,0.904
68,446.22,452.21,SPEAKER_01,I think this is a good shape.,0.7914
69,452.23,454.15,SPEAKER_02,"It's quite similar to what it was before, though.",0.8558
70,456.04,468.67,SPEAKER_03,This stage of the evaluation is really for us as a team to evaluate if we have now got a product specification and prototype design that meets the criteria that we got from our market research.,0.9046
71,469.81,472.42,SPEAKER_03,So this is the first stage of the evaluation.,0.8652
72,472.4,481.24,SPEAKER_03,Now the collection of the criteria as we saw in our previous meeting was based on the user requirements and trends found in the marketing reports and marketing strategy of our company.,0.8809
73,481.62,483.18,SPEAKER_03,So it's what we've discussed in the last meeting.,0.7964
74,483.4,486.27,SPEAKER_03,Are we actually meeting those trends and requirements?,0.907
75,488.34,491.13,SPEAKER_03,Now the findings that we came up with just a recap are here.,0.859
76,491.17,508.31,SPEAKER_03,"The criteria that we want in this remote control are a fancy looking feel, technological innovation, it should be easy to use, it should incorporate current fashion trends and those the two main ones are with a spongy texture and the fruit and vegetable strong design colours.",0.8261
77,508.29,517.81,SPEAKER_03,The design should minimise RSI and be easy to locate and we were still slightly ambivalent as to whether to use voice recognition there.,0.878
78,517.83,523.38,SPEAKER_03,"That did seem to be the favourite strategy, but there was also on the sideline the thought of maybe having a beeper function.",0.8638
79,525.01,528.62,SPEAKER_03,"Okay, so we can come back to that slide if you don't have a note of those.",0.8751
80,528.86,533.73,SPEAKER_03,"I'll just show you how we're going to evaluate our own feedback to this, to what we have so far.",0.7895
81,534.71,539.01,SPEAKER_03,We're going to use a seven-point scale where one is true and seven is false.,0.8208
82,539.17,541.56,SPEAKER_03,We'll look at each of those criteria that I've just mentioned.,0.85
83,541.58,542.88,SPEAKER_03,I'll call that slide back up.,0.8245
84,543.5,548.15,SPEAKER_03,And I will just do a preliminary rating of all those criteria on the whiteboard here.,0.8324
85,549.03,549.85,SPEAKER_03,Does that seem clear?,0.8645
86,549.95,552.24,SPEAKER_03,Any questions there?,0.8293
87,552.22,553.4,SPEAKER_03,So we're going to look at these.,0.7884
88,553.44,555.3,SPEAKER_01,Is it everybody's going to evaluate or just the model?,0.3656
89,555.32,555.72,SPEAKER_03,Yes.,0.92
90,556.16,561.73,SPEAKER_03,"We're going to come to, we'll discuss each one and we'll come to our consensus rating between one and seven.",0.8025
91,562.57,562.95,SPEAKER_03,Okay.,0.674
92,563.17,564.73,SPEAKER_03,"One is true, seven is false.",0.778
93,567.27,567.59,SPEAKER_03,Right.,0.714
94,569.39,570.92,SPEAKER_03,So I won't write all of that out again.,0.7566
95,570.98,577.21,SPEAKER_03,"It will just be criteria one, two, three, four, five, six, or A, B, C, D, E, F to confuse it with the number rating.",0.8375
