segment_id,start,end,speaker_id,transcript,incongruence_score,confidence_weight,final_score
0,36.0,39.0,SPEAKER_02,Minutes. We decided to use a,0.104913,0.8477,0.088935
1,37.5,40.5,SPEAKER_02,We decided to use a kinetic charger.,0.289105,0.8843,0.255656
2,39.0,42.0,SPEAKER_02,kinetic charger. Standard chip,0.592172,0.8788,0.520401
3,40.5,43.5,SPEAKER_02,Standard chip because it can,0.610002,0.8734,0.532775
4,42.0,45.0,SPEAKER_02,because it can come in various,0.562076,0.8734,0.490917
5,43.5,46.5,SPEAKER_02,come in various different sizes.,0.634036,0.8734,0.553767
6,45.0,48.0,SPEAKER_02,different sizes. going to be a,0.46008,0.711,0.327117
7,46.5,49.5,SPEAKER_02,going to be a problem factor.,0.512587,0.5487,0.281256
8,48.0,51.0,SPEAKER_02,problem factor. We wanted a,0.071292,0.7188,0.051245
9,49.5,52.5,SPEAKER_02,We wanted a standby function. The case,0.247989,0.8575,0.212651
10,51.0,54.0,SPEAKER_02,standby function. The case materials can be,0.445073,0.8575,0.38165
11,52.5,55.5,SPEAKER_02,"materials can be soft, rubbery,",0.206982,0.8259,0.170946
12,54.0,57.0,SPEAKER_02,"soft, rubbery, changeable.",0.573121,0.8259,0.473341
13,55.5,58.5,SPEAKER_02,changeable. Buttons with a combination,0.628491,0.7548,0.474385
14,57.0,60.0,SPEAKER_02,"Buttons with a combination of LCD and rubber, according",0.145985,0.6836,0.099796
15,58.5,61.5,SPEAKER_02,"of LCD and rubber, according to the design.",0.024908,0.6836,0.017027
16,60.0,63.0,SPEAKER_02,"to the design. Bright, funky designs",0.14496,0.7466,0.108227
17,61.5,64.5,SPEAKER_02,"Bright, funky designs inspired by fruit,",0.075168,0.8095,0.060848
18,63.0,66.0,SPEAKER_02,"inspired by fruit, keeping with the",0.245832,0.8095,0.199001
19,64.5,67.5,SPEAKER_02,keeping with the hip kind of feel.,0.722858,0.8095,0.585154
20,66.0,69.0,SPEAKER_02,hip kind of feel. and to try and,0.318256,0.8037,0.255782
21,67.5,70.5,SPEAKER_02,and to try and incorporate voice recognition software into,0.31811,0.8037,0.255665
22,69.0,72.0,SPEAKER_02,incorporate voice recognition software into our design until we,0.417369,0.7979,0.333019
23,70.5,73.5,SPEAKER_02,our design until we can find out more about,0.670439,0.7979,0.534943
24,72.0,75.0,SPEAKER_02,can find out more about the cost of things like,0.529943,0.7979,0.422841
25,73.5,76.5,SPEAKER_02,the cost of things like that.,0.608701,0.8308,0.505709
26,75.0,78.0,SPEAKER_02,that. And the rubber,0.470232,0.8308,0.390668
27,76.5,79.5,SPEAKER_02,And the rubber buttons that we'll use,0.418348,0.8637,0.361327
28,78.0,81.0,SPEAKER_02,buttons that we'll use will be anti-RSI.,0.685392,0.8637,0.591973
29,79.5,82.5,SPEAKER_02,will be anti-RSI.,0.443204,0.8637,0.382795
30,91.5,94.5,SPEAKER_00,that for us? I think that would be you.,0.148301,0.8095,0.12005
31,94.5,97.5,SPEAKER_01,"Me and William worked on a prototype, and I think William",0.13479,0.7861,0.105958
32,96.0,99.0,SPEAKER_01,"on a prototype, and I think William is going to make a presentation",0.022311,0.7861,0.017539
33,100.5,103.5,SPEAKER_00,I show? Do you want to hold it?,0.3869,0.5896,0.228116
34,102.0,105.0,SPEAKER_00,Do you want to hold it? I can hold it. Do,0.692438,0.6098,0.422249
35,103.5,106.5,SPEAKER_00,I can hold it. Do you want to hold it? And I'll,0.270164,0.6475,0.174931
36,105.0,108.0,SPEAKER_00,you want to hold it? And I'll show you the,0.449762,0.5643,0.253801
37,109.5,112.5,SPEAKER_02,"Yes, yes. I'll get it out.",0.36359,0.5068,0.184267
38,114.0,117.0,SPEAKER_00,Whoa. It looks,0.193963,0.756,0.146636
39,115.5,118.5,SPEAKER_00,It looks crazy. Crazy.,0.288374,0.8775,0.253048
40,138.0,141.0,SPEAKER_00,"OK, so this is our look",0.018969,0.7953,0.015086
41,139.5,142.5,SPEAKER_00,"this is our look and feel presentation,",0.005759,0.7953,0.00458
42,141.0,144.0,SPEAKER_00,"and feel presentation, our final presentation.",0.348695,0.7953,0.277317
43,142.5,145.5,SPEAKER_00,our final presentation. And we'll,0.063339,0.8342,0.052838
44,144.0,147.0,SPEAKER_00,And we'll first look at the exterior,0.112213,0.8731,0.097973
45,145.5,148.5,SPEAKER_00,first look at the exterior of what we've come,0.605783,0.8731,0.528909
46,147.0,150.0,SPEAKER_00,of what we've come up with over there.,0.019833,0.8731,0.017317
47,148.5,151.5,SPEAKER_00,up with over there.,0.044036,0.8413,0.037047
48,150.0,153.0,SPEAKER_00,It's going to,0.036626,0.8095,0.029649
49,151.5,154.5,SPEAKER_00,It's going to have a,0.037964,0.8095,0.030732
50,153.0,156.0,SPEAKER_00,have a plastic body with,0.019499,0.8095,0.015784
51,154.5,157.5,SPEAKER_00,plastic body with a sort,0.015236,0.8095,0.012334
52,156.0,159.0,SPEAKER_00,"a sort of standard color,",0.009012,0.8095,0.007295
53,157.5,160.5,SPEAKER_00,"of standard color, either we're",0.004734,0.8095,0.003832
54,159.0,162.0,SPEAKER_00,either we're thinking something fairly,0.019836,0.8095,0.016058
55,160.5,163.5,SPEAKER_00,"thinking something fairly neutral, a white",0.034256,0.8305,0.02845
56,162.0,165.0,SPEAKER_00,"neutral, a white or a light blue",0.100908,0.8305,0.083804
57,163.5,166.5,SPEAKER_00,or a light blue or something. This is,0.256828,0.834,0.214195
58,165.0,168.0,SPEAKER_00,or something. This is underneath the rubberized,0.288777,0.834,0.24084
59,166.5,169.5,SPEAKER_00,"underneath the rubberized outer casing, which",0.528507,0.8166,0.431579
60,168.0,171.0,SPEAKER_00,"outer casing, which there'd be sort",0.122715,0.8166,0.100209
61,169.5,172.5,SPEAKER_00,there'd be sort of a wide,0.030153,0.8166,0.024623
62,171.0,174.0,SPEAKER_00,"of a wide choice, they would",0.071482,0.8166,0.058372
63,172.5,175.5,SPEAKER_00,"choice, they would be attached,",0.075139,0.8166,0.061359
64,174.0,177.0,SPEAKER_00,"be attached, but we can't",0.642034,0.8166,0.524285
65,175.5,178.5,SPEAKER_00,but we can't with that.,0.063485,0.8166,0.051842
66,178.5,181.5,SPEAKER_00,The wide choice of,0.009036,0.7256,0.006557
