annotation_id,meeting_id,segment_id,start,end,speaker_id,transcript,annotator_1,annotator_2,annotator_3,notes
1,ES2002b,949,30:25.5,30:28.5,SPEAKER_00,"Right, so basically,",0,,,
2,ES2002c,477,14:09.0,14:12.0,SPEAKER_03,That's a good possibility.,1,,,
3,ES2003d,1047,34:07.5,34:10.5,SPEAKER_00,ideas that can be used and sadly is meaning not so,1,,,
4,ES2002b,157,06:04.5,06:07.5,SPEAKER_02,"clunky one. It's very easy to use,",0,,,
5,ES2004b,1199,37:58.5,38:01.5,SPEAKER_03,"the instruction manual, I don't know if we deal",0,,,
6,ES2004c,119,04:55.5,04:58.5,SPEAKER_03,"out that the first of those findings, fancy look and feel,",0,,,
7,ES2002c,456,13:37.5,13:40.5,SPEAKER_03,extra effort. If we do decide to go,0,,,
8,ES2003d,686,22:06.0,22:09.0,SPEAKER_00,you'd say. I quite like that colour,1,,,
9,ES2002c,830,24:43.5,24:46.5,SPEAKER_03,on to comfortably?,0,,,
10,ES2004a,143,07:25.5,07:28.5,SPEAKER_03,"Minds are dreadful. Oops, this",1,,,humor
11,ES2002a,264,11:21.0,11:24.0,SPEAKER_03,"Well, 25 euro, I mean,",0,,,
12,ES2002b,779,25:31.5,25:34.5,SPEAKER_01,"smile to it, or blink their eyes, whatever.",0,,,
13,ES2004a,81,04:01.5,04:04.5,SPEAKER_02,We're running out of blue.,0,,,
14,ES2002c,1129,34:46.5,34:49.5,SPEAKER_02,achieving is simplicity and so I'm thinking,0,,,
15,ES2002b,59,02:24.0,02:27.0,SPEAKER_00,it'll just control the TV. The other thing was that the company,0,,,
16,ES2002a,355,14:31.5,14:34.5,SPEAKER_02,"their sound and everything, it's",0,,,
17,ES2002d,201,06:54.0,06:57.0,SPEAKER_03,we need to rethink anything at all.,0,,,
18,ES2003d,1077,34:57.0,35:00.0,SPEAKER_02,twice the assembly cost and would,0,,,
19,ES2003c,742,22:00.0,22:03.0,SPEAKER_01,"can drop this as many times as you want. It doesn't matter,",0,,,
20,ES2004a,290,12:12.0,12:15.0,SPEAKER_03,be something usable by someone like me as well.,0,,,
21,ES2002d,452,16:25.5,16:28.5,SPEAKER_01,and used that as a criteria,0,,,
22,ES2004c,162,06:28.5,06:31.5,SPEAKER_02,I hate those little,0,,,
23,ES2004c,59,02:58.5,03:01.5,SPEAKER_02,that. And our market,0,,,
24,ES2003c,357,10:51.0,10:54.0,SPEAKER_03,"about anybody else, but plastic or rubber as a traditional",0,,,
25,ES2002d,1124,38:21.0,38:24.0,SPEAKER_02,something you can put your hands on and feel and touch and get a,0,,,
26,ES2002b,797,25:58.5,26:01.5,SPEAKER_01,And I think that's about it in terms,0,,,
27,ES2003d,818,27:01.5,27:04.5,SPEAKER_01,being inspired by fashion.,0,,,
28,ES2003b,807,23:37.5,23:40.5,SPEAKER_03,Which I do have a bit of a concern about our market.,0,,,
29,ES2002b,707,23:43.5,23:46.5,SPEAKER_01,"design. Well, this",0,,,
