segment_id,start,end,speaker_id,transcript,incongruence_score,confidence_weight,final_score
0,10.5,13.5,SPEAKER_02,Are we? We're not like,0.741438,0.5429,0.402527
1,12.0,15.0,SPEAKER_02,"We're not like the dim lights, so",0.635616,0.5122,0.325562
2,13.5,16.5,SPEAKER_02,"the dim lights, so we can see",0.32392,0.5122,0.165912
3,15.0,18.0,SPEAKER_02,we can see that a bit better.,0.686101,0.5122,0.351421
4,16.5,19.5,SPEAKER_02,that a bit better. Yeah.,0.576406,0.478,0.275522
5,18.0,21.0,SPEAKER_02,Yeah. OK. That's,0.435429,0.478,0.208135
6,19.5,22.5,SPEAKER_02,OK. That's fine.,0.566282,0.6297,0.356588
7,21.0,24.0,SPEAKER_02,fine. Am I supposed to be standing up there?,0.481551,0.6297,0.303233
8,24.0,27.0,SPEAKER_03,So we've got both of these clipped on.,0.061429,0.6016,0.036956
9,25.5,28.5,SPEAKER_03,got both of these clipped on.,0.111705,0.6016,0.067202
10,28.5,31.5,SPEAKER_03,"Is she going to answer me? Yeah,",0.251326,0.3337,0.083868
11,30.0,33.0,SPEAKER_03,"going to answer me? Yeah, I've got both of them.",0.098345,0.3337,0.032818
12,31.5,34.5,SPEAKER_03,I've got both of them.,0.269485,0.2017,0.054355
13,82.5,85.5,SPEAKER_02,"everybody. I'm Sarah,",0.657155,0.7876,0.517576
14,84.0,87.0,SPEAKER_02,"I'm Sarah, the project",0.244149,0.8015,0.195685
15,85.5,88.5,SPEAKER_02,the project manager and this,0.190896,0.8015,0.153003
16,87.0,90.0,SPEAKER_02,manager and this is our first,0.211048,0.8015,0.169155
17,88.5,91.5,SPEAKER_02,"is our first meeting, surprisingly enough.",0.309816,0.8015,0.248318
18,90.0,93.0,SPEAKER_02,"meeting, surprisingly enough. Okay,",0.398221,0.7471,0.297511
19,91.5,94.5,SPEAKER_02,"Okay, this is",0.235251,0.6928,0.162982
20,93.0,96.0,SPEAKER_02,this is our agenda. We will,0.451686,0.7113,0.321284
21,94.5,97.5,SPEAKER_02,"our agenda. We will do some stuff, get to",0.527368,0.7113,0.375117
22,96.0,99.0,SPEAKER_02,"do some stuff, get to know each other a",0.090373,0.7299,0.065963
23,97.5,100.5,SPEAKER_02,"know each other a bit better, feel more comfortable",0.561206,0.7299,0.409625
24,99.0,102.0,SPEAKER_02,"bit better, feel more comfortable with each other.",0.171479,0.7299,0.125163
