annotation_id,meeting_id,segment_id,start,end,speaker_id,transcript,final_score
1,ES2002b,949,30:25.500,30:28.500,SPEAKER_00,"Right, so basically,",0.090253
2,ES2002c,477,14:09.000,14:12.000,SPEAKER_03,That's a good possibility.,0.026273
3,ES2003d,1047,34:07.500,34:10.500,SPEAKER_00,ideas that can be used and sadly is meaning not so,0.690579
4,ES2002b,157,6:04.500,6:07.500,SPEAKER_02,"clunky one. It's very easy to use,",0.292149
5,ES2004b,1199,37:58.500,38:01.500,SPEAKER_03,"the instruction manual, I don't know if we deal",0.499418
6,ES2004c,119,4:55.500,4:58.500,SPEAKER_03,"out that the first of those findings, fancy look and feel,",0.053203
7,ES2002c,456,13:37.500,13:40.500,SPEAKER_03,extra effort. If we do decide to go,0.011483
8,ES2003d,686,22:06.000,22:09.000,SPEAKER_00,you'd say. I quite like that colour,0.188678
9,ES2002c,830,24:43.500,24:46.500,SPEAKER_03,on to comfortably?,0.154059
10,ES2004a,143,7:25.500,7:28.500,SPEAKER_03,"Minds are dreadful. Oops, this",0.207078
11,ES2002a,264,11:21.000,11:24.000,SPEAKER_03,"Well, 25 euro, I mean,",0.19957
12,ES2002b,779,25:31.500,25:34.500,SPEAKER_01,"smile to it, or blink their eyes, whatever.",0.343528
13,ES2004a,81,4:01.500,4:04.500,SPEAKER_02,We're running out of blue.,0.139939
14,ES2002c,1129,34:46.500,34:49.500,SPEAKER_02,achieving is simplicity and so I'm thinking,0.422751
15,ES2002b,59,2:24.000,2:27.000,SPEAKER_00,it'll just control the TV. The other thing was that the company,0.049964
16,ES2002a,355,14:31.500,14:34.500,SPEAKER_02,"their sound and everything, it's",0.051998
17,ES2002d,201,6:54.000,6:57.000,SPEAKER_03,we need to rethink anything at all.,0.080844
18,ES2003d,1077,34:57.000,35:00.000,SPEAKER_02,twice the assembly cost and would,0.387236
19,ES2003c,742,22:00.000,22:03.000,SPEAKER_01,"can drop this as many times as you want. It doesn't matter,",0.13277
20,ES2004a,290,12:12.000,12:15.000,SPEAKER_03,be something usable by someone like me as well.,0.001926
21,ES2002d,452,16:25.500,16:28.500,SPEAKER_01,and used that as a criteria,0.19305
22,ES2004c,162,6:28.500,6:31.500,SPEAKER_02,I hate those little,0.433914
23,ES2004c,59,2:58.500,3:01.500,SPEAKER_02,that. And our market,0.335491
24,ES2003c,357,10:51.000,10:54.000,SPEAKER_03,"about anybody else, but plastic or rubber as a traditional",0.084615
25,ES2002d,1124,38:21.000,38:24.000,SPEAKER_02,something you can put your hands on and feel and touch and get a,0.019951
26,ES2002b,797,25:58.500,26:01.500,SPEAKER_01,And I think that's about it in terms,0.317982
27,ES2003d,818,27:01.500,27:04.500,SPEAKER_01,being inspired by fashion.,0.213022
28,ES2003b,807,23:37.500,23:40.500,SPEAKER_03,Which I do have a bit of a concern about our market.,0.01162
29,ES2002b,707,23:43.500,23:46.500,SPEAKER_01,"design. Well, this",0.404243
30,ES2004a,29,1:46.500,1:49.500,SPEAKER_02,"project plan, discuss our own ideas and",0.446389
31,ES2004d,663,25:07.500,25:10.500,SPEAKER_00,because they were saying they were quite willing to pay more for,0.113698
32,ES2002a,409,16:03.000,16:06.000,SPEAKER_02,"of not having, you know, these days things in people's",0.093662
33,ES2004b,1185,37:33.000,37:36.000,SPEAKER_03,that with the design of it.,0.309513
34,ES2004b,1189,37:43.500,37:46.500,SPEAKER_03,talked about there being an alarm or,0.538568
35,ES2004b,854,27:22.500,27:25.500,SPEAKER_03,"program on you want to put record on, that's",0.212387
36,ES2002d,101,2:51.000,2:54.000,SPEAKER_02,"this size, right? So",0.032749
37,ES2003b,1085,31:51.000,31:54.000,SPEAKER_01,LCD screen requires too much power,0.138205
38,ES2002d,539,19:30.000,19:33.000,SPEAKER_01,of a compromise for price. Five?,0.200637
39,ES2004b,1193,37:49.500,37:52.500,SPEAKER_03,learning how to use it should be as simple,0.140606
40,ES2002b,166,6:18.000,6:21.000,SPEAKER_02,could be pulled out from the bottom,0.064686
41,ES2004c,33,2:12.000,2:15.000,SPEAKER_02,couldn't use teletext. It wasn't going to be,0.055678
42,ES2003c,792,23:16.500,23:19.500,SPEAKER_03,"if we can get next year, then that's possibly",0.024987
43,ES2002c,978,29:43.500,29:46.500,SPEAKER_01,"in lights is cheap, but putting an LCD panel just to make it glow is a",0.465873
44,ES2002d,116,3:28.500,3:31.500,SPEAKER_03,good. So 10,0.14492
45,ES2003d,727,23:28.500,23:31.500,SPEAKER_03,"good. Okay, that's what I'm doing so badly. Easy",0.364029
46,ES2002b,665,22:21.000,22:24.000,SPEAKER_01,speech recognition is not good for this. Sure. Okay.,0.442891
47,ES2003d,695,22:21.000,22:24.000,SPEAKER_00,OK. And we can see we'll come,0.128622
48,ES2004c,353,12:33.000,12:36.000,SPEAKER_00,calculators you don't really throw around a,0.03181
49,ES2004b,847,27:10.500,27:13.500,SPEAKER_03,"in times, things like that.",0.335601
50,ES2004c,902,28:34.500,28:37.500,SPEAKER_01,My personal preferences,0.123331
51,ES2004c,1160,37:22.500,37:25.500,SPEAKER_02,just address that with advertising. You associate the name,0.474203
52,ES2004b,167,6:06.000,6:09.000,SPEAKER_00,the batteries because otherwise it's not going to work. As,0.305101
53,ES2004b,1101,34:52.500,34:55.500,SPEAKER_02,"it kind of, yeah, and that opens out into your flip top, then",0.025153
54,ES2003c,32,1:01.500,1:04.500,SPEAKER_03,be able to be fairly adventurous in the actual physical,0.344534
55,ES2002b,1138,35:40.500,35:43.500,SPEAKER_00,"of who we're, you know, targeting this at.",0.054151
56,ES2003c,275,8:25.500,8:28.500,SPEAKER_03,Should I go,0.285188
57,ES2003b,903,26:25.500,26:28.500,SPEAKER_01,"seen those odd little key rings where if you whistle, it will beep",0.328302
58,ES2002b,110,4:39.000,4:42.000,SPEAKER_02,I would like to ask you guys for your,0.157707
59,ES2003d,602,18:49.500,18:52.500,SPEAKER_03,interface? Because we have restrictions,0.323097
60,ES2004b,827,26:37.500,26:40.500,SPEAKER_02,"first of all, where the main purchasing power is",0.032586
61,ES2004b,678,22:06.000,22:09.000,SPEAKER_03,coming out now have kind of big rubber,0.556633
62,ES2002d,61,1:39.000,1:42.000,SPEAKER_02,"to the advanced functions, so the",0.11837
63,ES2003b,1024,29:51.000,29:54.000,SPEAKER_03,other design constraint I think we should bear,0.103707
64,ES2002c,655,19:54.000,19:57.000,SPEAKER_01,"I said, you probably need like a battery and something else.",0.16558
65,ES2004d,392,13:19.500,13:22.500,SPEAKER_03,of materials for your prototype here. Yeah. Is this actually going,0.008942
66,ES2002d,596,21:46.500,21:49.500,SPEAKER_01,is more of like a line where we have like sort of,0.451336
67,ES2003b,135,4:09.000,4:12.000,SPEAKER_00,"to load a DVD player recently, and there",0.022894
68,ES2002c,30,0:52.500,0:55.500,SPEAKER_00,"teletext, ignoring everything except the TV, and",0.272688
69,ES2004d,566,20:25.500,20:28.500,SPEAKER_01,"think rubber, since it's being used just as",0.10592
70,ES2004b,858,27:28.500,27:31.500,SPEAKER_03,"not sure if you're going to, you put the number in. And",0.300305
71,ES2004d,632,23:57.000,24:00.000,SPEAKER_00,"the standard, it would make one difference.",0.028457
72,ES2003d,595,18:36.000,18:39.000,SPEAKER_01,and would be made in two parts and,0.012297
73,ES2003c,387,11:54.000,11:57.000,SPEAKER_02,dump them all. I wasn't very impressed by,0.001167
74,ES2003d,415,12:58.500,13:01.500,SPEAKER_00,You now have as much,0.225693
75,ES2003c,1127,33:15.000,33:18.000,SPEAKER_03,it that often or they're maybe looking to,0.038524
76,ES2004b,719,23:16.500,23:19.500,SPEAKER_00,they had to make two different sized,0.018534
77,ES2004c,32,2:10.500,2:13.500,SPEAKER_02,in that we couldn't use teletext.,0.238514
78,ES2004b,538,17:46.500,17:49.500,SPEAKER_03,"to be combined control, which limits",0.465543
79,ES2002d,463,16:42.000,16:45.000,SPEAKER_01,it to change anything.,0.139395
80,ES2003c,410,12:30.000,12:33.000,SPEAKER_02,what we basically decided on was,0.036972
81,ES2002b,311,11:18.000,11:21.000,SPEAKER_03,Can you go,0.160091
82,ES2004a,46,2:12.000,2:15.000,SPEAKER_02,but not a hunk of metal.,0.614875
83,ES2002a,236,10:04.500,10:07.500,SPEAKER_02,basic product positioning. The 25,0.084647
84,ES2004d,76,3:13.500,3:16.500,SPEAKER_00,the top LCD screen,0.594285
85,ES2003c,427,12:55.500,12:58.500,SPEAKER_02,through channels. So if there's something.,0.188812
86,ES2004b,646,21:01.500,21:04.500,SPEAKER_03,for it to look good.,0.159483
87,ES2004a,232,10:40.500,10:43.500,SPEAKER_03,did say earlier it's got to be accessible and usable,0.039859
88,ES2002d,672,24:46.500,24:49.500,SPEAKER_01,the ideas are still in discussion. You know,0.410776
89,ES2004a,91,4:54.000,4:57.000,SPEAKER_01,Maybe you can guess what I'm trying to make.,0.037747
90,ES2002c,958,29:01.500,29:04.500,SPEAKER_00,"is it, putting fashion into electronics or something, I don't know.",0.022895
91,ES2002c,678,20:28.500,20:31.500,SPEAKER_01,"the, you know. So, okay, my,",0.466913
92,ES2003c,1243,36:42.000,36:45.000,SPEAKER_03,the rubber could be quite... Yeah.,0.315752
93,ES2002c,403,12:12.000,12:15.000,SPEAKER_03,always red. It really should be. It's something that the user then,0.016647
94,ES2002b,974,31:04.500,31:07.500,SPEAKER_02,used to say it was going to be the most basic,0.050308
95,ES2004a,338,13:40.500,13:43.500,SPEAKER_02,even dream of texting or something like that.,0.350894
