segment_id,start,end,speaker_id,transcript,asr_confidence
0,36.0,39.0,SPEAKER_02,Minutes. We decided to use a,0.8477
1,37.5,40.5,SPEAKER_02,We decided to use a kinetic charger.,0.8843
2,39.0,42.0,SPEAKER_02,kinetic charger. Standard chip,0.8788
3,40.5,43.5,SPEAKER_02,Standard chip because it can,0.8734
4,42.0,45.0,SPEAKER_02,because it can come in various,0.8734
5,43.5,46.5,SPEAKER_02,come in various different sizes.,0.8734
6,45.0,48.0,SPEAKER_02,different sizes. going to be a,0.711
7,46.5,49.5,SPEAKER_02,going to be a problem factor.,0.5487
8,48.0,51.0,SPEAKER_02,problem factor. We wanted a,0.7188
9,49.5,52.5,SPEAKER_02,We wanted a standby function. The case,0.8575
10,51.0,54.0,SPEAKER_02,standby function. The case materials can be,0.8575
11,52.5,55.5,SPEAKER_02,"materials can be soft, rubbery,",0.8259
12,54.0,57.0,SPEAKER_02,"soft, rubbery, changeable.",0.8259
13,55.5,58.5,SPEAKER_02,changeable. Buttons with a combination,0.7548
14,57.0,60.0,SPEAKER_02,"Buttons with a combination of LCD and rubber, according",0.6836
15,58.5,61.5,SPEAKER_02,"of LCD and rubber, according to the design.",0.6836
16,60.0,63.0,SPEAKER_02,"to the design. Bright, funky designs",0.7466
17,61.5,64.5,SPEAKER_02,"Bright, funky designs inspired by fruit,",0.8095
18,63.0,66.0,SPEAKER_02,"inspired by fruit, keeping with the",0.8095
19,64.5,67.5,SPEAKER_02,keeping with the hip kind of feel.,0.8095
20,66.0,69.0,SPEAKER_02,hip kind of feel. and to try and,0.8037
21,67.5,70.5,SPEAKER_02,and to try and incorporate voice recognition software into,0.8037
22,69.0,72.0,SPEAKER_02,incorporate voice recognition software into our design until we,0.7979
23,70.5,73.5,SPEAKER_02,our design until we can find out more about,0.7979
24,72.0,75.0,SPEAKER_02,can find out more about the cost of things like,0.7979
25,73.5,76.5,SPEAKER_02,the cost of things like that.,0.8308
26,75.0,78.0,SPEAKER_02,that. And the rubber,0.8308
27,76.5,79.5,SPEAKER_02,And the rubber buttons that we'll use,0.8637
28,78.0,81.0,SPEAKER_02,buttons that we'll use will be anti-RSI.,0.8637
29,79.5,82.5,SPEAKER_02,will be anti-RSI.,0.8637
30,91.5,94.5,SPEAKER_00,that for us? I think that would be you.,0.8095
31,94.5,97.5,SPEAKER_01,"Me and William worked on a prototype, and I think William",0.7861
32,96.0,99.0,SPEAKER_01,"on a prototype, and I think William is going to make a presentation",0.7861
33,100.5,103.5,SPEAKER_00,I show? Do you want to hold it?,0.5896
34,102.0,105.0,SPEAKER_00,Do you want to hold it? I can hold it. Do,0.6098
35,103.5,106.5,SPEAKER_00,I can hold it. Do you want to hold it? And I'll,0.6475
36,105.0,108.0,SPEAKER_00,you want to hold it? And I'll show you the,0.5643
37,109.5,112.5,SPEAKER_02,"Yes, yes. I'll get it out.",0.5068
38,114.0,117.0,SPEAKER_00,Whoa. It looks,0.756
39,115.5,118.5,SPEAKER_00,It looks crazy. Crazy.,0.8775
40,138.0,141.0,SPEAKER_00,"OK, so this is our look",0.7953
41,139.5,142.5,SPEAKER_00,"this is our look and feel presentation,",0.7953
42,141.0,144.0,SPEAKER_00,"and feel presentation, our final presentation.",0.7953
43,142.5,145.5,SPEAKER_00,our final presentation. And we'll,0.8342
44,144.0,147.0,SPEAKER_00,And we'll first look at the exterior,0.8731
45,145.5,148.5,SPEAKER_00,first look at the exterior of what we've come,0.8731
46,147.0,150.0,SPEAKER_00,of what we've come up with over there.,0.8731
47,148.5,151.5,SPEAKER_00,up with over there.,0.8413
48,150.0,153.0,SPEAKER_00,It's going to,0.8095
49,151.5,154.5,SPEAKER_00,It's going to have a,0.8095
50,153.0,156.0,SPEAKER_00,have a plastic body with,0.8095
51,154.5,157.5,SPEAKER_00,plastic body with a sort,0.8095
52,156.0,159.0,SPEAKER_00,"a sort of standard color,",0.8095
53,157.5,160.5,SPEAKER_00,"of standard color, either we're",0.8095
54,159.0,162.0,SPEAKER_00,either we're thinking something fairly,0.8095
55,160.5,163.5,SPEAKER_00,"thinking something fairly neutral, a white",0.8305
56,162.0,165.0,SPEAKER_00,"neutral, a white or a light blue",0.8305
57,163.5,166.5,SPEAKER_00,or a light blue or something. This is,0.834
58,165.0,168.0,SPEAKER_00,or something. This is underneath the rubberized,0.834
59,166.5,169.5,SPEAKER_00,"underneath the rubberized outer casing, which",0.8166
60,168.0,171.0,SPEAKER_00,"outer casing, which there'd be sort",0.8166
61,169.5,172.5,SPEAKER_00,there'd be sort of a wide,0.8166
62,171.0,174.0,SPEAKER_00,"of a wide choice, they would",0.8166
63,172.5,175.5,SPEAKER_00,"choice, they would be attached,",0.8166
64,174.0,177.0,SPEAKER_00,"be attached, but we can't",0.8166
65,175.5,178.5,SPEAKER_00,but we can't with that.,0.8166
66,178.5,181.5,SPEAKER_00,The wide choice of,0.7256
67,180.0,183.0,SPEAKER_00,The wide choice of colors and sort,0.7256
68,181.5,184.5,SPEAKER_00,"colors and sort of patterns, so you've",0.7256
69,183.0,186.0,SPEAKER_00,"of patterns, so you've got a lot of",0.7256
70,184.5,187.5,SPEAKER_00,got a lot of customization with it.,0.732
71,186.0,189.0,SPEAKER_00,customization with it. It's obviously,0.732
72,187.5,190.5,SPEAKER_00,It's obviously a sort,0.7384
73,189.0,192.0,SPEAKER_00,a sort of clamshell,0.7384
