segment_id,start,end,speaker_id,transcript,asr_confidence
0,0.03,1.19,SPEAKER_00,should hopefully do a trick.,0.711
1,17.61,28.0,SPEAKER_00,"Sorry about the small delay, falling a little bit behind schedule.",0.5845
2,34.22,47.02,SPEAKER_00,"OK, so just to try and roughly go over what we agreed in the last one, we're going to go for something, how was it?",0.7903
3,47.32,48.52,SPEAKER_00,"The new black, I believe.",0.8558
4,50.28,58.24,SPEAKER_00,"Something that looks good, because that seems to be in preference to actual functionality in the end, though we should never avoid functionality, of course.",0.7889
5,58.22,68.0,SPEAKER_00,"Many of our components are going to be standard off the shelf, but it seemed like we were going to require at least an advanced chip and we were still very much for the idea of using an LCD display.",0.8299
6,70.98,75.85,SPEAKER_00,"Other things where we were hoping to use rubber, most likely going to be double curved, etc.",0.8419
7,77.64,87.0,SPEAKER_00,"Okay, so due to your hard work we might as well let the two designers go first and show us the prototype.",0.8035
8,87.2,92.58,SPEAKER_00,"Okay, that's quite how the best way to do this is I'm not sure.",0.6531
9,92.6,94.82,SPEAKER_01,I think we both step up and,0.4946
10,96.78,107.05,SPEAKER_01,"Okay, now, doing the prototype gave us a bit more insight into the ergonomics of the design.",0.7788
11,108.17,123.71,SPEAKER_01,"For one thing, it turned out that the only point at which it needs to be articulated for handedness is down here for the LED as it turned out.",0.8426
12,123.69,141.13,SPEAKER_01,"the whole thing transfers from the right to left hand fairly well from the point of view of operating the function buttons and joystick, though it might be an idea to be able to adjust the position of the base of the joystick just a little bit.",0.7987
13,142.22,143.98,SPEAKER_01,"Actually, just a thought.",0.7563
14,144.56,148.23,SPEAKER_01,You could simply have a slightly ovoid-shaped joystick.,0.8436
15,148.45,157.46,SPEAKER_01,They could then just be twisted around so that the bit that sticks out a bit more is on one side or the other.,0.8031
16,158.56,166.51,SPEAKER_01,"But as you see with holding it in the left hand, the LCD is nowhere useful.",0.8596
17,167.14,170.1,SPEAKER_01,So that would need to be articulated.,0.778
18,170.08,172.79,SPEAKER_01,if we're going to retain our ergonomic design.,0.8307
19,172.85,180.14,SPEAKER_01,"Now, I got your note about keeping the costs down.",0.8593
20,180.62,181.31,SPEAKER_00,"I'm afraid, yeah.",0.427
21,181.85,184.03,SPEAKER_00,We'll go into that a bit more.,0.7089
22,184.89,189.2,SPEAKER_01,This design could be done with,0.8838
23,191.88,205.07,SPEAKER_01,"with plastic casing, though I would recommend around the grip part here in the middle having maybe just a rubber grip over that, which would allow for a slightly more sort of biomorphic form and a bit more ergonomic as well.",0.8082
24,206.13,211.16,SPEAKER_01,"As for the single curve,",0.852
25,211.46,219.53,SPEAKER_01,"Well, this edge and this edge, like I said, it would be nice to have some curvature to it, but it's not absolutely necessary.",0.7075
26,219.59,231.09,SPEAKER_01,"Really, the curve that's most needed is the underside so that the joystick rests over the edge of the hand like this.",0.8656
27,232.57,234.39,SPEAKER_01,the transmitter here.,0.7477
28,234.93,240.78,SPEAKER_01,Now we speak for the remote control finder.,0.8834
29,242.06,245.14,SPEAKER_01,Any further comments?,0.6753
30,246.76,251.41,SPEAKER_02,Obviously it's going to be bulkier than it looks because it's going to be flat on one side.,0.6658
31,251.91,254.69,SPEAKER_02,So the LCD will be sticking down like this.,0.7557
32,254.68,257.44,SPEAKER_02,Because we can't get it curved.,0.6395
33,258.9,264.35,SPEAKER_02,"And it's plastic as well, so it won't be as comfortable on the hand.",0.7879
34,265.75,272.36,SPEAKER_01,With the rubber design it could pretty much mold very much to the user's hand.,0.8212
35,272.38,275.25,SPEAKER_01,One nice feature if we could still do the rubber.,0.7684
36,275.23,284.96,SPEAKER_01,I thought it was to have the rubber extend beyond the end of the rigid substructure.,0.7966
37,285.14,289.03,SPEAKER_01,So it has a wee sort of tail that you just drape over your wrist so it stays in position nicely.,0.6533
38,291.69,292.04,SPEAKER_01,Lovely.,0.959
39,295.34,296.44,SPEAKER_01,"Yeah, that's it.",0.367
40,298.13,298.95,SPEAKER_00,"OK, yeah, great.",0.49
41,301.23,304.24,SPEAKER_03,"Yeah, I've got a few load up my evaluation.",0.641
42,304.25,305.8,SPEAKER_00,"Yeah, OK.",0.4675
43,306.8,307.42,SPEAKER_00,Excellent work.,0.8945
44,322.34,322.94,SPEAKER_03,Evaluation.,0.483
45,329.94,334.33,SPEAKER_03,basic point have a list of criteria that we need to rate their prototype by.,0.8309
46,336.89,346.17,SPEAKER_03,"Then we will, it's a seven step kind of evaluation process.",0.7027
47,346.15,347.48,SPEAKER_03,"Not seven steps, seven scale.",0.8272
48,348.34,357.37,SPEAKER_03,"So after we finished doing all the ratings for each criteria, we averaged that and that would give us some type of confidence in our prototype.",0.7614
49,358.31,372.28,SPEAKER_03,"And the criteria were based on real reactions, kind of goals and policies, marketing strategies, and also those are put together from the user requirements phase.",0.765
50,373.85,374.01,SPEAKER_03,Okay.,0.364
51,374.25,375.27,SPEAKER_03,"If you flip there,",0.8195
52,378.86,381.5,SPEAKER_03,So those are the criteria.,0.6782
53,384.45,394.9,SPEAKER_03,"Perhaps I could have put them a bit better, but you notice a few things that we've totally abandoned, which means that the product would score very badly on some of those points.",0.7795
54,396.89,397.51,SPEAKER_03,But it might be.,0.3765
