segment_id,start,end,transcript,asr_confidence
0,2.41,4.59,"OK, we're all set.",0.6378
1,5.92,6.8,Right.,0.274
2,6.82,9.22,"Well, this is the final detailed design meeting.",0.6819
3,12.22,17.75,"We're going to discuss the look and feel design, the user interface design, and we're going to evaluate the product.",0.6628
4,18.5,25.57,"And the end result of this meeting has to be a decision on the details of this remote control, like absolute final decision.",0.852
5,25.55,30.37,And then I'm going to have to specify the final design in the final report.,0.7893
6,31.13,42.56,"So just from last time to recap, we said we were going to have a snowman-shaped remote control with no LCD display, no need for talk back.",0.6513
7,42.6,52.85,"It was hopefully going to be kinetic power and battery with rubber buttons, maybe backlighting the buttons with some internal LEDs to shine through the casing.",0.7497
8,52.83,57.4,"Hopefully a job dial, incorporating the slogan somewhere as well.",0.8499
9,58.37,61.61,Anything I've missed?,0.594
10,62.16,68.53,"So, if you want to present your prototype, go ahead.",0.8291
11,69.98,71.86,"Oh, is it?",0.4073
12,71.88,73.34,Ninja Homer made in Japan.,0.6676
13,75.47,76.49,There are a few changes we've made.,0.6246
14,77.21,79.27,We had a look at the expense sheet.,0.6193
15,79.29,84.74,And it turned out to be quite a lot expensive to have open up and have lots of buttons and stuff inside.,0.4842
16,85.28,87.75,"So instead of, this is going to be an LCD screen.",0.4947
17,89.21,95.46,"Just a very, very basic one, very small, with access to the menu through the scroll wheel and confirm.",0.5521
18,96.57,112.45,"It doesn't open up to the advanced functions, so the advanced functions are still hidden from you, but they're hidden in the sense that they're not in use.",0.7527
19,112.74,116.14,They're in the LCD panel in the jog dial.,0.6933
20,116.18,118.11,So what kind of thing is going to be?,0.6058
21,118.15,121.31,The LCD panel just displays functionally what you're doing.,0.6382
22,121.37,130.12,"If you're using an advanced function, like brightness, contrast, whatever, it would just say, it only has four columns.",0.6344
23,130.2,131.38,It's a very simple LCD.,0.7152
24,131.72,137.21,"Or as many, the minimum amount we need that they usually will automatically know like this is brightness or this is contrast.",0.6587
25,137.19,148.06,"Okay, it might even be one a bit more complex LCD panel with pictures like maybe the Sun or you know the symbols of the various And what is this here?",0.8224
26,148.88,149.73,That's a number pad.,0.8063
27,149.79,152.99,"Okay, so the number pad is Where are we gonna have the slogan?",0.5575
28,154.39,158.46,"Okay, cool.",0.614
29,158.48,162.86,You have this space here and then you have this thing on the side as well or at the bottom of,0.8191
30,164.11,165.67,"The slogans are usually quite small, right?",0.58
31,165.71,167.09,"They're not, like, huge.",0.853
32,167.33,173.33,"So there's... Say a button's about this size, right?",0.8506
33,173.89,176.19,So you would still have plenty of space for a slogan.,0.769
34,176.34,181.83,"So if this isn't to scale, what kind of dimensions are you thinking about here?",0.8267
35,182.85,186.09,"Well, I want the buttons to be big enough to push easily with a finger.",0.591
36,186.1,190.78,So we reckon that would be about the same size as the Pamir hunt.,0.5834
37,190.8,193.27,So that would be about a centimeter for a button.,0.7948
38,193.37,195.19,"So one, two, three.",0.7672
39,197.47,205.74,"four centimeters plus maybe half, five, six, seven, eight.",0.6767
40,206.06,207.11,That sounds good.,0.383
41,207.33,209.17,That would be good.,0.6558
42,209.93,215.02,"So 10 centimeters in height, okay.",0.73
43,215.0,215.66,That would be good.,0.4367
44,215.68,218.07,"In fact, a pen is about 10 centimetres, usually.",0.8277
45,218.65,220.99,So that would be... That sounds like a really good sound.,0.6914
46,221.01,221.11,Yeah.,0.344
47,221.41,222.03,If you see it there.,0.6984
48,222.27,222.71,That's great.,0.439
49,222.73,223.88,And it's very bright as well.,0.7398
50,224.54,225.1,So...,0.91
51,225.94,226.1,Okay.,0.252
52,226.12,227.0,Is it possible...,0.6687
53,228.18,230.52,I'm just going to bring up the idea of colours.,0.5548
54,230.6,232.47,Are these the colours of production?,0.7928
55,232.73,234.29,Is this just what we had available?,0.6187
56,234.45,240.38,We're going to have again the sort of foggy yellow from the last time that they're up when you beat the button.,0.463
57,240.4,240.74,Right.,0.71
58,240.72,244.08,"OK, so just list all the things that it does.",0.7789
59,244.66,246.41,So I can write them in the report.,0.7681
60,249.21,251.99,"This button, because it's red, it's very problem.",0.5896
61,252.01,255.6,We're going to use it as a power button if you hold it for maybe two seconds.,0.4134
62,256.44,257.68,I'll send that by signal.,0.5738
63,259.08,262.37,"Apart from that, it's going to be used as a confirm button for the LCD screen.",0.5132
64,262.75,264.09,And you use this as a jog dial.,0.5394
65,264.41,267.89,"OK, so that's a OK button.",0.4528
66,268.02,273.03,"Oh, we've discussed how high it is, but how wide is it?",0.8015
67,273.05,273.15,Okay.,0.024
68,273.17,274.15,How high is it?,0.6607
69,274.17,275.09,"No, as in the height.",0.7964
70,275.81,275.91,Yeah.,0.0
71,275.93,277.46,But what about the width?,0.7652
72,277.48,279.98,"Oh, the depth of the... Do we need five?",0.4874
73,280.0,280.8,I don't think five is.,0.3456
74,281.18,284.2,We're about three and a half.,0.497
75,284.23,284.32,Okay.,0.003
76,284.35,287.99,"Oh, is this to get an idea of scale from your... Sure.",0.6298
77,288.01,288.55,...from anything there?,0.1897
78,288.61,288.95,Okay.,0.745
79,289.31,290.83,"So, you can par on and off.",0.7593
80,290.85,291.6,What else can you do?,0.7642
81,292.44,294.14,You can skip straight to the channel using these buttons.,0.4808
82,294.68,295.06,Okay.,0.628
83,300.95,302.99,We're going to have the volume control here.,0.4919
84,303.37,307.57,"But because we've got the LCD and the jog dial, we just thought we'd use that as the volume.",0.5877
85,308.17,309.48,"OK, jog dial for volume.",0.5294
86,312.06,313.38,And what else do you do with the jog dial?,0.5575
87,314.54,317.77,"You can use it for more advanced functions like contrast, color.",0.7461
88,318.93,322.39,"Contrast, brightness.",0.909
89,323.43,325.31,Anything else?,0.5195
90,325.33,327.7,It's whatever else we wanted to include as the advanced functions.,0.5853
91,328.6,329.94,We didn't actually go through and specify,0.2583
92,330.56,332.28,"Well, as the designers, what are they?",0.7581
93,333.65,334.47,What can a TV do?,0.5604
94,335.91,338.69,"OK, things like brightness, contrast.",0.8408
95,339.5,341.54,Maybe tuning the channels.,0.8225
96,342.32,343.86,"OK, channel tuning.",0.3937
97,343.88,345.08,That's a good one.,0.2707
98,345.1,345.42,What else?,0.9135
99,345.7,346.38,The various inputs.,0.6073
100,346.44,347.45,Are you having a VCR?,0.5386
101,347.47,349.29,"Are you having, you know, which input do you have?",0.4391
102,349.61,350.69,"OK, excellent.",0.655
103,350.71,352.03,Probably color sharpness.,0.6423
104,353.11,355.5,"Yeah, color sharpness.",0.679
105,355.72,359.94,A lot of these things will have to be free and open for users to define them.,0.7299
106,360.04,362.51,"Okay, what about sound settings?",0.6202
107,363.42,365.75,Can you change any of those at all?,0.6689
108,366.45,370.09,"We have like your basic, your bass, your mid range, your high range.",0.7317
109,371.3,378.25,Maybe even pre-programmed sound modes.,0.5622
110,380.57,388.3,The user could determine a series of sound modes and then what could happen would be when you click on that and go to that setting.,0.7198
111,390.2,392.12,Is there anything else that Hort can do?,0.6143
112,393.44,396.52,"That's fine, just need to know so I can write it down.",0.7651
113,399.01,402.1,"Right, I guess that's it.",0.8394
114,402.12,408.07,So we can now have a little look at,0.7921
115,409.2,417.19,the excel sheet and price this thing and see if we need to rethink anything at all.,0.8459
116,417.69,422.92,"So for this first part here, power wise, have we got battery?",0.8128
117,423.28,424.34,Do we have kinetic as well?,0.6432
118,424.54,424.72,No.,0.966
119,425.11,425.32,No?,0.974
120,425.73,427.27,Okay.,0.504
121,427.29,428.17,Just battery.,0.662
122,430.48,432.76,"And that's because of cost restraints, is it?",0.6084
123,432.78,432.96,Yeah.,0.557
124,433.18,435.45,OK. What about the electronics here?,0.7437
125,436.01,436.33,Advanced chip.,0.181
126,436.35,437.79,"We need an advanced chip, I think.",0.4227
127,437.81,437.89,Yep.,0.0
128,437.91,439.83,Let me just confirm that.,0.617
129,439.85,449.43,"Yes, I think so.",0.5165
130,449.45,449.89,Yep.,0.454
131,449.91,450.01,OK.,0.573
132,450.11,450.53,The case.,0.8755
133,450.55,453.47,"What does it mean by single and double, do you know?",0.7564
134,453.49,455.58,I think single just be sort of one or oval.,0.4256
135,455.6,456.74,Whereas double is this sort of thing.,0.3224
136,456.96,458.18,So we want double curved?,0.7198
137,458.2,459.02,Yep.,0.815
138,459.04,459.1,OK.,0.341
139,460.82,462.26,Plastic.,0.798
140,464.65,466.49,Is there any rubber at all in the buttons?,0.8662
141,466.63,469.49,I think we're going to have to skip the rubber.,0.3401
142,469.65,471.8,"OK. And we want it special colors, don't we?",0.6832
143,472.0,472.12,Yeah.,0.128
144,472.14,472.96,So I'll have to pop that.,0.3635
145,472.98,473.4,"Oh, no, wait.",0.463
146,474.1,475.22,How many colors have we got there?,0.7994
147,476.04,478.06,"For the case itself, one color.",0.9127
148,478.43,479.39,It's one special color.,0.8197
149,479.47,482.57,"Just one color, OK. Because the case unit itself the rest of it.",0.5853
150,482.67,482.87,OK.,0.459
151,483.27,486.14,"So interface-wise, is it the third option we have?",0.7439
152,486.16,486.26,Yes.,0.371
153,486.28,486.98,The two of them there.,0.3
154,487.42,489.66,One and the LC display.,0.7282
155,490.1,493.24,OK. And then buttons.,0.816
156,493.76,494.58,How many?,0.5515
157,494.6,495.68,"We have, what?",0.7467
158,495.92,498.05,Two colors?,0.5185
159,498.73,499.87,We've got push buttons as well.,0.768
160,503.23,506.07,"Oh wait, so push button and integration.",0.6631
161,506.09,506.15,OK.,0.002
162,506.17,509.22,"I reckon we've got one button for this thing, because it's just one big sheet of rubber.",0.5349
163,511.14,512.18,Not sure if that counts.,0.7404
164,512.98,516.04,"OK, let's just be safe and put, like say, four buttons for that one.",0.789
165,516.84,517.4,OK.,0.793
166,517.74,522.73,"OK. And maybe a special color for the month, so maybe four again.",0.7816
167,523.71,524.33,Four?,0.658
168,524.47,526.79,So why are we arriving at the number four?,0.7624
169,527.56,528.68,Where does the number four come from?,0.7173
170,528.84,532.07,"Because that's one button, but it's the complexity of 12 buttons.",0.7995
171,532.69,534.15,"OK, right.",0.6815
172,534.17,536.51,"So we're just estimating that, yeah, it'll be less.",0.5806
173,536.89,537.33,OK.,0.636
174,539.71,541.39,Are we wanting them in?,0.6866
175,541.41,541.67,No.,0.863
176,542.43,542.63,No?,0.925
177,543.01,544.7,Is everything going to be plastic?,0.4673
178,544.72,545.02,Okay.,0.577
179,545.68,549.52,So we're quite far over.,0.7612
180,549.64,550.77,Something's going to have to go.,0.7472
181,550.79,552.63,We're at 16.8.,0.7353
182,552.73,558.7,How are we going to achieve this high-end product?,0.8084
183,559.98,562.96,"Well, something has to go to the tune of 2.3 euro.",0.7463
184,563.46,568.13,"So let me see, what are we?",0.7901
185,568.15,570.11,"2.3, 4.3, yeah.",0.696
186,571.21,571.97,"Oh, yeah, sorry, 4.3.",0.834
187,572.03,573.88,My mask is all right.,0.5368
188,573.98,577.32,"Well, we could take it at once by making it single curve, just fill in those bits.",0.5669
189,578.76,579.1,Yeah.,0.2
190,579.12,579.68,And then where is it?,0.183
191,579.7,580.7,How much would that save us?,0.6197
192,580.72,581.66,How much would that save us?,0.5018
193,581.68,582.55,That would only save you one.,0.3633
194,582.73,582.85,One.,0.607
195,582.87,589.5,"The other thing could be that you could take away the LCD panel and advance trip together, because when you",0.868
196,590.86,592.3,do something on the TV.,0.8056
197,592.32,593.9,The TV responds and reacts as well.,0.8347
198,594.66,597.21,So the user could be looking at the TV and pushing his thing.,0.5159
199,597.23,598.81,So we may not need to.,0.7395
200,599.59,605.32,"So when we scroll, we need just some way to get the TV to respond, which I think is a technically doable thing.",0.6882
201,605.66,607.7,So what's our reviewed suggestion?,0.7508
202,608.76,610.76,Take away the LC display.,0.8978
203,612.85,614.35,And the advanced chip goes away as well.,0.8729
204,614.81,618.65,To be replaced with a regular chip.,0.8967
205,621.86,623.7,So what that means is that.,0.8045
206,623.72,625.99,And so we've got 0.3 to get rid of.,0.8502
207,626.97,631.5,And where are the four push buttons are where exactly now?,0.7235
208,631.82,633.12,The 12 buttons that you see there.,0.8291
209,633.14,634.66,12 buttons.,0.905
210,635.39,638.27,"That's one piece of rubber, but it's going to have 12 buttons.",0.4146
211,638.29,639.96,"Functionally, you're going to have to intercept.",0.3723
212,639.98,641.34,So 4 is a good estimate for.,0.6971
213,641.36,642.38,Do you think?,0.7687
214,642.97,648.84,"Yeah, you can't actually cut, it's like three times the number of buttons, 4, 8, 12.",0.7051
215,649.74,652.36,Is that one big button or is it 12 buttons?,0.8241
216,652.88,654.46,How can it be something in between?,0.7447
217,654.48,660.89,"It needs to be more than one big button because if you open up your phone underneath, there's actually one button underneath.",0.6521
218,660.91,663.51,It's just that the panel itself is a single panel.,0.7402
219,664.05,666.82,"Okay, well we have 0.3 to get rid of somewhere.",0.8218
220,668.15,669.91,Just report that it has to be over budget.,0.6956
221,671.43,672.25,Or the colors.,0.7987
222,672.27,674.46,You could take away colors for the buttons.,0.6482
223,674.88,677.52,"Yeah, we could just go with normal color buttons.",0.6851
224,679.55,681.69,"Well, do you want color differentiation here?",0.7753
225,681.73,684.11,"No, that's not the button we're talking about.",0.5861
226,684.27,686.06,"The buttons only refer to the pads, so.",0.7664
227,686.76,687.72,"Right, so.",0.9055
228,688.78,690.75,Take that off.,0.2117
229,692.39,693.36,It's back to the original.,0.4592
230,694.96,696.98,So then these just become normal collect funds.,0.7256
231,697.88,699.92,So that might be some way of cutting the cost.,0.8198
232,701.71,704.59,"OK. Oh, that's a shame.",0.6792
233,705.69,705.99,Right.,0.789
234,707.21,708.35,So take away that completely.,0.7334
235,708.39,711.58,And now we're under budget.,0.6026
236,712.0,714.84,"So we do have 0.5 euro to play with, if we wanted.",0.6918
237,716.34,717.92,How about with embossing the logo?,0.7725
238,717.96,719.47,Isn't that going to cost us some money?,0.6739
239,719.97,725.76,That's a good idea.,0.598
240,730.62,733.2,Does that mean that one button has a special form?,0.8818
241,733.99,735.39,I think there's just one button.,0.4448
242,735.57,735.98,Yeah.,0.673
243,736.72,738.72,"OK. Well, there we go.",0.6634
244,738.74,741.3,So I'm just going to have to redraw this now.,0.5388
245,741.36,743.07,So we're not going to have the LCD anymore.,0.6262
246,743.63,745.77,We're just going to have an on the TV.,0.6477
247,745.79,748.13,"It'll show you what you're doing, which I think is fair enough.",0.6864
248,748.75,755.33,And so this is going to be one big thing here.,0.4546
249,755.56,761.38,Was the goal in your prototype design that it be as low profile as possible?,0.7968
250,762.23,763.45,What do you mean by profile?,0.5077
251,763.73,765.09,Sort of flat as possible.,0.9426
252,765.71,766.27,No.,0.969
253,766.29,768.89,"The ambush here has been quite deep, sort of.",0.6132
254,768.91,769.22,Yeah.,0.534
255,769.24,772.18,Deep enough to be comfy to hold your hands while you're being white and black.,0.4531
256,772.2,772.46,Sure.,0.509
257,772.48,774.06,We didn't have enough play dough to make it.,0.5584
258,774.34,776.34,"Yeah, all right.",0.1563
259,776.36,777.0,"OK, just thought of it.",0.2972
260,777.97,781.39,So there's one more dimension to the thing which we need to add in.,0.7641
261,781.55,783.69,"You might want to add in a length, width, and height.",0.5982
262,783.98,784.78,"Right, okay.",0.564
263,785.54,791.8,"So just to well to be thorough then, width wise we're looking at about what, three centimeters or something?",0.7669
264,792.45,793.21,Yeah.,0.489
265,793.23,793.57,Okay.,0.752
266,793.99,796.45,And then so height wise.,0.8404
267,801.6,803.18,How tall do you envisage being?,0.619
