segment_id,start,end,speaker_id,transcript,asr_confidence
0,0.03,4.1,SPEAKER_01,to do now is to decide how to fulfill what your stuff is.,0.6358
1,4.54,5.28,SPEAKER_01,OK. Sure.,0.487
2,5.98,6.95,SPEAKER_02,OK.,0.851
3,7.07,8.19,SPEAKER_02,"It kind of does make sense, doesn't it?",0.4945
4,8.23,13.56,SPEAKER_02,"Because when we get into the end of meeting, we're kind of talking about action and design as opposed to background.",0.7322
5,13.74,15.0,SPEAKER_02,Everything I have is kind of background.,0.8129
6,15.05,16.23,SPEAKER_00,"Okay, we're all ready to do.",0.7647
7,16.65,19.04,SPEAKER_00,We'll have it in this meeting then.,0.6603
8,19.56,20.46,SPEAKER_00,If we...,0.837
9,22.11,25.14,SPEAKER_00,I'll just recap on the minutes from the last meeting.,0.818
10,26.14,30.19,SPEAKER_00,We decided on...,0.921
11,30.17,33.45,SPEAKER_00,decided on our target group being 15 to 35.,0.8166
12,35.16,47.54,SPEAKER_00,"We decided that it was going to be normally chargeable battery power, that we're going to group our audio visual and other functions into those categories.",0.789
13,47.52,58.66,SPEAKER_00,"And I told you guys about the three new requirements about ignoring teletext, ignoring everything except the TV, and trying to incorporate the corporate color and slogan.",0.7216
14,59.47,60.59,SPEAKER_00,So that was the last meeting.,0.7457
15,61.05,61.49,SPEAKER_00,Is there anything?,0.9073
16,61.57,62.37,SPEAKER_00,Have I forgotten anything?,0.6763
17,63.16,63.31,SPEAKER_01,No.,0.909
18,63.77,75.2,SPEAKER_00,"So if we have the three presentations, and then if you have anything that you know you're going to want to discuss, maybe just make a note of it and then we'll have all the discussion at the end.",0.7636
19,75.26,76.5,SPEAKER_00,That might be a better idea this time.,0.3815
20,76.96,83.77,SPEAKER_00,"And so if we start off with Andrew and then Craig and then David, is that all right?",0.7843
21,84.93,93.78,SPEAKER_00,And then after that we'll have to make some decisions about stuff.,0.8292
22,93.75,102.08,SPEAKER_00,"Screeding quick, tightly.",0.219
23,108.01,110.98,SPEAKER_00,How did we leave it with speech recognition now?,0.643
