segment_id,start,end,speaker_id,transcript,asr_confidence
0,3.0,6.0,SPEAKER_02,"My gosh, you've",0.5756
1,4.5,7.5,SPEAKER_02,"My gosh, you've already produced a PowerPoint",0.5756
2,12.0,15.0,SPEAKER_03,"God, how do I make",0.4689
3,13.5,16.5,SPEAKER_03,do I make this thing work?,0.4689
4,15.0,18.0,SPEAKER_03,this thing work?,0.4689
5,54.0,57.0,SPEAKER_03,"Right. Well, this is",0.5859
6,55.5,58.5,SPEAKER_03,"Well, this is the kickoff meeting for",0.7289
7,57.0,60.0,SPEAKER_03,the kickoff meeting for our project.,0.7289
8,58.5,61.5,SPEAKER_03,our project. And this is,0.7277
9,60.0,63.0,SPEAKER_03,And this is just what we're going,0.7265
10,61.5,64.5,SPEAKER_03,just what we're going to be doing,0.7265
11,63.0,66.0,SPEAKER_03,to be doing over the next,0.7265
12,64.5,67.5,SPEAKER_03,over the next 25 minutes.,0.7265
13,66.0,69.0,SPEAKER_03,25 minutes. So,0.7422
14,67.5,70.5,SPEAKER_03,"So first of all, just to kind",0.7578
15,69.0,72.0,SPEAKER_03,"first of all, just to kind of make sure that we all",0.7578
16,70.5,73.5,SPEAKER_03,"of make sure that we all know each other, I'm Laura, and",0.7578
17,72.0,75.0,SPEAKER_03,"know each other, I'm Laura, and I'm the project manager.",0.7578
18,73.5,76.5,SPEAKER_03,I'm the project manager. Do you want to,0.7241
19,78.0,81.0,SPEAKER_00,"I'm David, and I'm supposed to be an industrial designer.",0.5912
20,82.5,85.5,SPEAKER_02,"Andrew, and I'm our marketing",0.6041
21,85.5,88.5,SPEAKER_01,"I'm Greg, and I'm user interface.",0.5912
22,91.5,94.5,SPEAKER_03,So we're designing a new remote control.,0.6854
23,93.0,96.0,SPEAKER_03,"we're designing a new remote control. And oh, I have",0.6854
24,94.5,97.5,SPEAKER_03,"And oh, I have to record who's",0.771
25,96.0,99.0,SPEAKER_03,"to record who's here, actually.",0.6777
26,97.5,100.5,SPEAKER_03,"here, actually. So that's",0.6777
27,99.0,102.0,SPEAKER_03,"So that's David, Andrew,",0.5843
28,100.5,103.5,SPEAKER_03,"David, Andrew, and Craig,",0.5843
29,102.0,105.0,SPEAKER_03,"and Craig, isn't it?",0.5843
30,103.5,106.5,SPEAKER_03,isn't it? And you all arrived on time.,0.663
31,105.0,108.0,SPEAKER_03,And you all arrived on time.,0.7417
32,108.0,111.0,SPEAKER_03,"Yeah, so design in your remote",0.6994
33,109.5,112.5,SPEAKER_03,"design in your remote control, as you can",0.6994
34,111.0,114.0,SPEAKER_03,"control, as you can see, it's supposed to",0.6994
35,112.5,115.5,SPEAKER_03,"see, it's supposed to be original, trendy, and",0.6994
36,114.0,117.0,SPEAKER_03,"be original, trendy, and user-friendly.",0.6994
37,117.0,120.0,SPEAKER_03,So that's kind of our brief.,0.8243
38,118.5,121.5,SPEAKER_03,that's kind of our brief. And,0.7958
39,120.0,123.0,SPEAKER_03,And so there are three,0.7673
40,121.5,124.5,SPEAKER_03,so there are three different stages to,0.7673
41,123.0,126.0,SPEAKER_03,different stages to the design. I'm,0.7238
42,124.5,127.5,SPEAKER_03,the design. I'm not really sure,0.7238
43,126.0,129.0,SPEAKER_03,not really sure what you guys have,0.6802
44,127.5,130.5,SPEAKER_03,what you guys have already received in,0.6802
45,129.0,132.0,SPEAKER_03,already received in your emails. What did you,0.7594
46,136.5,139.5,SPEAKER_00,the project announcement.,0.8578
47,141.0,144.0,SPEAKER_03,we're gonna have like,0.7373
48,142.5,145.5,SPEAKER_03,have like individual work and,0.7373
49,144.0,147.0,SPEAKER_03,individual work and then a,0.7373
50,145.5,148.5,SPEAKER_03,then a meeting about,0.7373
51,147.0,150.0,SPEAKER_03,meeting about it and,0.7373
52,148.5,151.5,SPEAKER_03,it and repeat that process,0.7373
53,150.0,153.0,SPEAKER_03,repeat that process three times.,0.7373
54,153.0,156.0,SPEAKER_03,"And at this point, you get to",0.7822
55,154.5,157.5,SPEAKER_03,"And at this point, you get to try out the whiteboard over there.",0.8384
56,156.0,159.0,SPEAKER_03,try out the whiteboard over there. So you get,0.8384
57,157.5,160.5,SPEAKER_03,So you get to draw your,0.8497
58,159.0,162.0,SPEAKER_03,to draw your favorite animal and,0.8497
59,160.5,163.5,SPEAKER_03,favorite animal and sum up your,0.8497
60,162.0,165.0,SPEAKER_03,sum up your favorite characteristics of,0.8497
61,163.5,166.5,SPEAKER_03,favorite characteristics of it. So who would,0.734
62,165.0,168.0,SPEAKER_03,it. So who would like to go first? I will go.,0.6123
63,166.5,169.5,SPEAKER_03,like to go first? I will go. Very good.,0.5332
64,174.0,177.0,SPEAKER_02,All right. So,0.6906
65,175.5,178.5,SPEAKER_02,right. So this,0.6906
66,211.5,214.5,SPEAKER_02,"Favorite characteristics of it, is",0.8599
67,213.0,216.0,SPEAKER_02,"of it, is that right?",0.8599
68,214.5,217.5,SPEAKER_02,that right? High,0.8635
69,216.0,219.0,SPEAKER_02,High priority for any,0.8671
70,217.5,220.5,SPEAKER_02,priority for any animal for me,0.8671
71,219.0,222.0,SPEAKER_02,animal for me is that they,0.8671
72,220.5,223.5,SPEAKER_02,is that they be willing,0.8671
73,222.0,225.0,SPEAKER_02,be willing to take a,0.8671
74,223.5,226.5,SPEAKER_02,to take a lot of physical,0.8671
75,225.0,228.0,SPEAKER_02,lot of physical affection from their,0.8671
76,226.5,229.5,SPEAKER_02,affection from their family.,0.8671
77,231.0,234.0,SPEAKER_02,They have lots,0.8696
78,232.5,235.5,SPEAKER_02,have lots of personality.,0.8696
79,234.0,237.0,SPEAKER_02,of personality. Be fit and in robust,0.8558
80,235.5,238.5,SPEAKER_02,Be fit and in robust good health. So this,0.7673
81,237.0,240.0,SPEAKER_02,good health. So this is Blue.,0.7174
82,238.5,241.5,SPEAKER_02,is Blue. Blue Beagle.,0.722
83,240.0,243.0,SPEAKER_02,Blue Beagle. My family's beagle.,0.7878
84,241.5,244.5,SPEAKER_02,My family's beagle.,0.8557
85,267.0,270.0,SPEAKER_01,The small cute and furry.,0.6396
