segment_id,start,end,speaker_id,transcript,incongruence_score,confidence_weight,final_score
0,0.0,3.0,SPEAKER_00,"Okay, well, I think we're",0.245393,0.7815,0.191775
1,1.5,4.5,SPEAKER_00,"Okay, well, I think we're ready to begin.",0.294449,0.6877,0.202493
2,3.0,6.0,SPEAKER_00,ready to begin. Right.,0.567743,0.6877,0.390437
3,4.5,7.5,SPEAKER_00,Right. My name's Adam Dugard.,0.107444,0.632,0.067904
4,6.0,9.0,SPEAKER_00,My name's Adam Dugard. We're here because of real reaction.,0.052334,0.7098,0.037147
5,7.5,10.5,SPEAKER_00,We're here because of real reaction.,0.069598,0.7676,0.053424
6,9.0,12.0,SPEAKER_00,We have in the,0.153216,0.872,0.133604
7,10.5,13.5,SPEAKER_00,We have in the group.,0.299061,0.8786,0.262755
8,13.5,16.5,SPEAKER_01,"Ebenezer, I demonstrate. Would you like me to",0.462829,0.5149,0.238311
9,15.0,18.0,SPEAKER_01,demonstrate. Would you like me to support it?,0.233029,0.5149,0.119987
10,16.5,19.5,SPEAKER_01,"support it? Yeah,",0.156228,0.467,0.072958
11,18.0,21.0,SPEAKER_01,"Yeah, go for it,",0.278473,0.59,0.164299
12,19.5,22.5,SPEAKER_01,"go for it, mate. NEZ.",0.258647,0.63,0.162948
13,21.0,24.0,SPEAKER_01,mate. NEZ. NEZ. ER.,0.259353,0.6422,0.166557
14,22.5,25.5,SPEAKER_01,"NEZ. ER. Ebenezer, and",0.28788,0.6762,0.194664
15,24.0,27.0,SPEAKER_01,"Ebenezer, and your role is? I'm",0.445329,0.7901,0.351854
16,25.5,28.5,SPEAKER_01,your role is? I'm the marketing expert.,0.174293,0.7901,0.137709
17,27.0,30.0,SPEAKER_01,the marketing expert. You're the marketing expert.,0.120506,0.676,0.081462
18,28.5,31.5,SPEAKER_01,You're the marketing expert. Okay.,0.490478,0.676,0.331563
19,33.0,36.0,SPEAKER_00,"Next we have Tara Grammar,",0.339629,0.6792,0.230676
20,34.5,37.5,SPEAKER_00,"have Tara Grammar, T-A-R-I-K. T-R-I-K. And your",0.419769,0.6792,0.285107
21,36.0,39.0,SPEAKER_00,T-A-R-I-K. T-R-I-K. And your role in this,0.503522,0.6792,0.341992
22,37.5,40.5,SPEAKER_00,role in this is? Industrial,0.141045,0.7421,0.104669
23,39.0,42.0,SPEAKER_00,is? Industrial designer. Industrial designer.,0.0942,0.7551,0.07113
24,40.5,43.5,SPEAKER_00,designer. Industrial designer.,0.251818,0.793,0.199692
25,46.5,49.5,SPEAKER_00,And lastly we,0.335196,0.843,0.28257
26,48.0,51.0,SPEAKER_00,And lastly we have Dave Cochran.,0.249608,0.843,0.210419
27,49.5,52.5,SPEAKER_00,have Dave Cochran.,0.617623,0.843,0.520656
28,52.5,55.5,SPEAKER_00,And you're going to be the,0.030688,0.6911,0.021208
29,54.0,57.0,SPEAKER_00,going to be the user interface designer.,0.029416,0.6911,0.020329
30,55.5,58.5,SPEAKER_00,user interface designer.,0.499068,0.6911,0.344906
31,60.0,63.0,SPEAKER_00,"Right, this is",0.870382,0.7471,0.650263
32,61.5,64.5,SPEAKER_00,"Right, this is the agenda for today's meeting.",0.26986,0.7471,0.201613
33,63.0,66.0,SPEAKER_00,"the agenda for today's meeting. As you can see,",0.117796,0.7154,0.084271
34,64.5,67.5,SPEAKER_00,"As you can see, we're opening, acquaintance, toll training,",0.247272,0.7154,0.176898
35,66.0,69.0,SPEAKER_00,"we're opening, acquaintance, toll training, project plan, discussion, and",0.004544,0.6837,0.003106
36,67.5,70.5,SPEAKER_00,"project plan, discussion, and closing.",0.070764,0.6837,0.048381
37,70.5,73.5,SPEAKER_00,We've already gone through opening and,0.034533,0.7649,0.026414
38,72.0,75.0,SPEAKER_00,already gone through opening and partially through acquaintance.,0.034577,0.7649,0.026448
39,73.5,76.5,SPEAKER_00,partially through acquaintance. So the,0.134201,0.7522,0.100946
40,75.0,78.0,SPEAKER_00,"So the reason we're here, we're going to design",0.100069,0.7395,0.074001
