segment_id,start,end,transcript,asr_confidence
0,9.48,15.39,OK. Is that all right now?,0.7283
1,17.59,18.23,OK. That's cool.,0.4813
2,18.25,19.06,Someone turned these on.,0.5325
3,19.78,20.06,Sorry?,0.906
4,20.4,21.5,Did someone turn these on for us?,0.5417
5,21.66,21.92,Great.,0.69
6,23.36,25.35,OK. Everybody all set to start the meeting?,0.7491
7,25.37,32.22,OK. We've got half an hour for this one to discuss the functional design.,0.8309
8,32.24,32.3,OK.,0.495
9,33.56,33.7,Thanks.,0.143
10,34.56,35.36,All ready to go?,0.7502
11,35.38,35.44,OK.,0.658
12,36.08,43.27,"So hopefully, if I've been working away, and I've put the minutes of the last meeting in the project folder.",0.7992
13,45.91,49.65,So I guess just to recap on what we did last time.,0.9195
14,49.67,64.21,"I got to know each other a little bit, and got familiar with all the equipment, and started to discuss a bit about the project cost-wise, how much money we had to spend",0.7548
15,100.91,114.75,"just want to tell you that we have three new requirements, which is the first one is that the companies decided that tele-text is outdated because of how popular the internet is.",0.8552
16,114.87,120.34,"Nobody uses tele-text very much anymore, so we don't really need to consider that in the functionality of the",0.8661
17,120.32,121.54,of the remote control.,0.8538
18,121.58,130.59,"And they've also suggested that we only use the remote control to control the television, not the VCR, DVD or anything else.",0.7878
19,130.85,140.88,"I think the worry is that if the project becomes too complex then it'll affect how long it takes us to get it into production, the time to market.",0.8502
20,141.82,145.24,So we're just going to keep it simple and it'll just control the TV.,0.7787
21,145.22,150.45,The other thing was that the company wanted the corporate color and slogan to be implemented in the new design.,0.8734
22,152.55,154.55,I'm not entirely sure what the corporate color is.,0.863
23,154.59,157.7,It might be yellow because there seems to be a lot of yellow everywhere.,0.7262
24,157.74,162.97,"The slogan, like the actual written slogan, or just to embody the idea of the slogan?",0.8353
25,163.26,163.99,"Well, that's the thing.",0.847
26,164.05,164.91,I'm not sure.,0.8187
27,167.85,171.31,"Because on the company website, what does it say?",0.7529
28,172.34,174.08,But putting the fashion in electronics.,0.4982
